"R0000100","R0070400","R0357900","R0365900","R0536300","R0536401","R0536402","R1235800","R1482600","R2200100"
1,5,1,0,2,9,1981,1,4,-4
2,1,0,0,1,7,1982,1,2,-4
3,4,0,0,2,9,1983,1,2,-4
4,5,0,0,2,2,1981,1,2,-4
5,3,1,0,1,10,1982,1,2,-4
6,5,0,0,2,1,1982,1,2,-4
7,5,0,0,1,4,1983,1,2,-4
8,2,0,0,2,6,1981,1,4,-4
9,2,0,0,1,10,1982,1,4,-4
10,1,0,0,1,3,1984,1,4,-4
11,5,1,0,2,6,1982,1,2,-4
12,3,0,0,1,10,1981,1,2,-4
13,1,0,0,1,11,1984,1,2,-4
14,1,0,0,1,7,1980,1,2,-4
15,3,0,0,2,1,1983,1,2,-4
16,3,1,0,1,2,1982,1,2,-4
17,3,1,0,2,11,1981,1,2,-4
18,4,0,0,1,2,1982,1,1,-4
19,5,0,0,1,4,1984,1,1,-4
20,3,0,0,1,12,1980,1,1,-4
21,2,1,0,1,8,1982,1,2,-4
22,5,1,0,1,6,1982,1,2,-4
23,5,0,0,2,1,1983,1,2,-4
24,3,0,0,1,6,1984,1,2,-4
25,5,0,0,2,3,1983,1,2,-4
26,4,0,0,1,10,1980,1,1,-4
27,5,1,1,1,5,1981,1,1,-5
28,1,0,0,2,11,1983,1,1,-4
29,3,1,0,2,1,1983,1,4,-4
30,3,0,0,1,6,1981,1,4,-4
31,3,0,0,1,7,1982,1,4,-4
32,3,1,0,2,7,1981,1,4,-4
33,4,0,0,2,12,1980,1,4,-4
34,1,1,0,2,12,1984,1,4,-4
35,-2,0,0,1,1,1983,1,4,-4
36,4,1,0,2,8,1980,1,4,-4
37,2,0,0,2,11,1980,1,4,-4
38,3,0,0,2,9,1981,1,4,-4
39,3,1,0,1,2,1980,1,2,-4
40,1,0,0,2,5,1984,1,4,-4
41,1,0,0,2,1,1983,1,4,-4
42,1,0,0,1,8,1983,1,4,-4
43,4,0,0,2,10,1981,1,1,-4
44,4,0,0,1,12,1981,1,2,-4
45,3,0,0,2,2,1984,1,1,-4
46,3,0,0,1,2,1984,1,1,-4
47,4,0,0,2,9,1982,1,1,-4
48,3,1,0,2,7,1983,1,1,-4
49,3,0,0,2,12,1982,1,1,-4
50,3,0,0,2,2,1983,1,1,-4
51,-2,0,0,1,6,1980,1,1,-4
52,-2,0,0,1,12,1983,1,1,-4
53,1,0,0,2,4,1984,1,1,-4
54,1,0,0,2,12,1984,1,1,-4
55,3,0,0,2,2,1981,1,2,-4
56,3,0,0,2,2,1982,1,4,-4
57,1,0,0,1,12,1982,1,1,-4
58,1,1,0,1,11,1983,1,1,-4
59,1,0,0,2,4,1981,1,1,-4
60,1,0,0,1,1,1984,1,4,-4
61,4,0,0,2,5,1983,1,1,-4
62,2,0,0,1,3,1980,1,1,-4
63,4,0,0,2,10,1984,1,1,-4
64,4,0,1,1,3,1980,1,1,-4
65,3,0,0,1,4,1984,1,1,-4
66,3,0,0,1,10,1980,1,1,-4
67,3,0,0,1,11,1980,1,1,-4
68,3,0,0,1,1,1981,1,1,-4
69,2,0,0,2,7,1981,1,1,-4
70,2,0,0,1,8,1982,1,1,-4
71,3,0,0,1,1,1980,1,1,-4
72,2,1,0,2,4,1982,1,1,-4
73,1,0,0,1,10,1984,1,1,-4
74,1,0,0,1,7,1983,1,4,-4
75,2,0,0,1,1,1982,1,4,-4
76,-2,0,0,1,1,1982,1,4,-4
77,1,0,0,2,11,1984,1,2,-4
78,3,0,0,2,7,1981,1,4,-4
79,1,0,0,1,12,1983,1,2,-4
80,2,1,0,1,6,1981,1,1,-4
81,4,0,0,2,1,1984,1,1,-4
82,1,0,0,1,7,1984,1,2,-4
83,-2,0,0,1,9,1981,1,2,-4
84,2,0,0,2,2,1984,1,2,-4
85,1,0,0,1,2,1984,1,4,-4
86,4,1,0,2,10,1980,1,4,-4
87,1,0,0,1,5,1984,1,2,-4
88,3,0,0,1,1,1981,1,4,-4
89,4,0,0,1,11,1981,1,4,-4
90,5,0,0,1,11,1981,1,2,-4
91,5,0,0,2,9,1982,1,2,-4
92,-2,0,0,1,4,1983,1,4,-4
93,1,0,0,1,9,1983,1,2,-4
94,2,1,0,2,9,1980,1,1,-4
95,1,0,0,1,7,1982,1,2,-5
96,3,0,0,1,7,1982,1,4,-4
97,3,0,0,1,6,1980,1,2,-4
98,1,0,0,1,1,1980,1,4,-4
99,-2,0,0,1,6,1982,1,2,-4
100,4,0,0,2,1,1981,1,1,-4
101,5,0,0,2,7,1981,1,1,-4
102,4,1,0,2,4,1982,1,2,-4
103,3,1,0,2,11,1983,1,2,-4
104,4,1,0,2,11,1980,1,4,-4
105,1,1,0,1,8,1983,1,4,-4
106,3,1,0,1,11,1981,1,4,-4
107,5,0,0,2,8,1982,1,4,-4
108,1,0,0,1,9,1984,1,4,-4
109,1,1,0,2,3,1982,1,4,-4
110,1,-1,0,2,2,1984,1,4,-4
111,4,1,0,2,1,1981,1,4,-4
112,2,0,0,2,4,1984,1,4,-4
113,3,0,1,1,4,1984,1,4,-4
114,4,1,0,2,7,1982,1,4,-4
115,5,1,0,2,10,1984,1,2,-4
116,2,0,0,1,10,1984,1,1,-4
117,2,0,0,1,10,1984,1,1,-4
118,3,0,0,1,6,1980,1,4,-5
119,3,1,0,1,9,1982,1,4,-5
120,4,1,0,1,6,1982,1,4,-5
121,2,1,0,1,12,1981,1,4,-4
122,1,1,0,1,6,1984,1,4,-4
123,3,0,0,1,2,1980,1,4,-5
124,3,0,0,1,2,1982,1,4,-5
