immigrant,female,black,hispanic,white,mixedrace,urban1997,rural1997,never_married,married,separated,divorced,widowed,ever_in_gang,victim_breakin_lt12yrs,victim_bully_lt12yrs,victim_shooting_lt12yrs,victim_breakin_12to18,victim_bully_12to18,victim_shooting_12to18,VictViolentCrime,ms_suspension,hs_suspension,hs_grad,college_degree,ged,special_education_history,bilingual_education_history,gifted_education_history,veteran,age,days_ms_suspension,days_hs_suspension,number_grades_repeated,number_grades_skipped,years_education_completed,highest_degree,SAT_math_score_2007,SAT_verbal_score_2007,ACT_score_2007,number_schools_attended,parent_expectation_in_jail_by20,age_first_incarcerated,income1996IA,income1997IA,income1998IA,income1999IA,income2000IA,income2001IA,income2002IA,income2003IA,income2004IA,income2005IA,income2006IA,income2007IA,income2008IA,income2009IA,income2010IA,income2012IA,income2014IA,income2016IA,income_20,income_25,income_30,income_35,assets_20,assets_25,assets_30,assets_35,debts_20,debts_25,debts_30,debts_35,total_n_incarcerated,total_months_incarcerated,months_longest_incarceration,months_first_incarceration,number_jobs_since20,Incarcerated,RelativeDied,Homeless,HHHospital,HHJail,NumSchoolsAttended,EverSmoke,EverArrested
1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,15,0,0,0,I,16,4,4,3,V,2,0,V,.,1147.125,.,17856,14595,15993.6,28728,.,17399,130652.71560000001,174931.9635,63597,59390.549999999996,64747.2,66000,84525,134532,.,10880,133535.85,55000,.,0,0,40800,.,0,0,18000,V,0,0,V,V,I,0,1,0,1,0,2,1,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,2,0,14,0,0,V,V,14,2,4,4,V,V,V,V,.,.,.,20088,.,.,.,14664,81775.3,.,.,44892,75091.5,71635.2,106920,100222.49999999999,110908.1808,127600.00000000001,.,34800,87150,.,0,.,59850,2660,2000,20350,35000,62500,0,0,V,V,5,0,0,0,0,0,.,0,0
0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,V,V,V,0,13,0,0,I,I,16,4,2,2,V,2,V,V,.,.,.,.,.,47980.799999999996,.,65988,.,.,.,.,35497.8,.,.,.,.,.,46800,28860,.,.,2275,3315,.,.,0,5250,19300,V,0,0,V,V,9,0,1,0,0,0,2,0,0
1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,15,0,0,0,0,13,2,V,V,V,2,0,V,.,.,25710.300000000003,.,43785,.,44049.6,40417.649999999994,40887.65,40590,49884.8,.,88744.5,56481.6,67320,35017.5,50449.50000000001,49500.00000000001,.,38080,56100,45000,14.96,5576,0,9588,0,18500,0,1300,0,0,V,V,7,0,0,0,0,0,2,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2,2,1,14,0,4,0,0,12,2,2,6,V,2,V,V,.,.,.,.,.,25989.6,22982.399999999998,45825,34798,76309.2,38972.5,67338,65534.4,85411.2,89760,91770,140137.5,137500,15960,52200,79800,.,11970,41629,191520,399000,0,2300,9000,3000,0,0,V,V,5,0,1,0,0,0,2,1,0
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,I,I,I,0,14,0,0,V,V,14,2,2,2,V,1,V,V,.,.,.,669.6,.,.,.,.,34798,48708,23383.5,.,28671.3,42981.12,.,18112.5,.,.,.,.,15750,.,0,798,4655,1330,0,0,1000,20000,0,0,V,V,7,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,V,V,V,0,13,10,0,V,V,11,1,I,I,V,3,V,V,.,.,.,.,.,.,.,.,.,.,.,.,.,26174.399999999998,0,.,2914.86,.,.,.,.,.,0,0,0,.,0,330,0,V,0,0,V,V,7,0,1,0,0,0,3,0,0
1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,15,0,0,0,0,18,5,5,5,V,2,0,V,.,7245,9349.2,6696,8340,5997.5999999999995,9576,27495,60896.50000000001,56826,31178,.,20479.5,.,85800,.,123321.00000000001,.,4080,23800,71500,.,0,1360,10880,.,0,14000,63000,V,0,0,V,V,8,0,1,0,1,0,2,0,0
1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,2,2,0,14,0,0,0,0,18,5,4,2,V,2,V,V,.,.,.,.,.,.,9576,7332,6959.6,16236,31178,50877.6,36863.1,33062.4,39600,65204.99999999999,63902.700000000004,64900.00000000001,6650,39440,56700,.,0,0,9975,53200,0,4000,40000,60000,0,0,V,V,6,0,1,0,1,0,2,0,0
1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,12,0,0,I,I,16,4,V,V,I,2,V,V,.,.,.,.,.,.,.,.,.,.,7794.5,52374,61438.5,.,.,.,.,82500,.,.,.,.,0,6350,234950,.,0,19500,96500,V,0,0,V,V,4,0,1,0,1,0,2,0,0
